股票代码,股票简称,现价(元),涨跌幅(%)
000901.SZ,航天科技,26.90,-2.25
300260.SZ,新莱应材,26.86,-4.75
002732.SZ,燕塘乳业,26.85,-4.07
603778.SH,乾景园林,26.83,0.04
603336.SH,宏辉果蔬,26.82,-7.45
300216.SZ,千山药机,26.79,1.59
002350.SZ,北京科锐,26.76,-1.73
300601.SZ,康泰生物,26.76,-1.98
601163.SH,三角轮胎,26.76,-3.71
002780.SZ,三夫户外,26.75,-9.69
002767.SZ,先锋电子,26.70,-3.19
300339.SZ,润和软件,26.70,-2.20
300429.SZ,强力新材,26.69,-7.68
603667.SH,五洲新春,26.63,-7.50
603966.SH,法兰泰克,26.53,-8.64
300374.SZ,恒通科技,26.52,-1.41
603019.SH,中科曙光,26.49,-6.00
603678.SH,火炬电子,26.48,-1.16
002324.SZ,普利特,26.47,-0.49
603113.SH,金能科技,26.40,-9.99
002623.SZ,亚玛顿,26.38,-3.72
300246.SZ,宝莱特,26.28,-2.78
300223.SZ,北京君正,26.20,-2.86
002356.SZ,赫美集团,26.15,-0.12
600120.SH,浙江东方,26.09,-0.72
603997.SH,继峰股份,26.09,-1.10
002190.SZ,成飞集成,26.07,-2.18
300426.SZ,唐德影视,25.99,-1.63
300632.SZ,光莆股份,25.99,-10.01
600391.SH,航发科技,25.99,-2.40
600893.SH,航发动力,25.99,-2.40
002411.SZ,必康股份,25.98,-1.22
002582.SZ,好想你,25.96,-0.46
000048.SZ,康达尔,25.94,-2.81
603977.SH,国泰集团,25.92,-10.00
300125.SZ,易世达,25.91,-2.01
002253.SZ,川大智胜,25.90,2.17
600258.SH,首旅酒店,25.90,0.08
300593.SZ,新雷能,25.88,-7.93
601238.SH,广汽集团,25.88,-4.04
000985.SZ,大庆华科,25.85,-2.75
603519.SH,立霸股份,25.84,-2.05
002038.SZ,双鹭药业,25.81,-1.11
002346.SZ,柘中股份,25.71,-5.20
002188.SZ,巴士在线,25.70,-0.73
002759.SZ,天际股份,25.70,-0.77
002699.SZ,美盛文化,25.69,-0.89
600562.SH,国睿科技,25.69,-3.20
300532.SZ,今天国际,25.68,-6.00
300463.SZ,迈克生物,25.67,1.22
300180.SZ,华峰超纤,25.66,-0.43
603768.SH,常青股份,25.65,-5.59
300143.SZ,星河生物,25.64,0.04
000150.SZ,宜华健康,25.62,-0.27
600056.SH,中国医药,25.56,1.35
600753.SH,东方银星,25.55,-2.44
603728.SH,鸣志电器,25.54,-10.01
603969.SH,银龙股份,25.51,-5.97
002468.SZ,申通快递,25.50,-0.97
300506.SZ,名家汇,25.46,-5.63
